t [s],u [deg],y [deg],i [A],Finished_late
0.017150,-0.005113,-0.005493,-0.019684,0.000000
0.017200,-0.005548,0.001221,-0.008698,0.000000
0.017250,-0.005722,-0.009766,-0.019684,0.000000
0.017300,-0.005855,-0.014648,-0.001984,0.000000
0.017350,-0.006052,-0.002441,-0.005493,0.000000
0.017400,-0.006260,0.007324,-0.008850,0.000000
0.017450,-0.006411,-0.002441,-0.026245,0.000000
0.017500,-0.006509,-0.012207,-0.005646,0.000000
0.017550,-0.006536,-0.009766,0.000763,0.000000
0.017600,-0.006389,-0.004883,-0.001678,0.000000
0.017650,-0.006009,-0.007324,-0.033875,0.000000
0.017700,-0.005541,-0.029907,-0.008392,0.000000
0.017750,-0.005298,-0.009155,-0.019684,0.000000
0.017800,-0.005504,-0.010986,-0.013580,0.000000
0.017850,-0.006077,-0.007935,-0.037231,0.000000
0.017900,-0.006682,0.000610,-0.005951,0.000000
0.017950,-0.006952,0.007324,-0.020142,0.000000
0.018000,-0.006638,-0.006104,-0.014191,0.000000
0.018050,-0.005697,-0.005493,-0.020294,0.000000
0.018100,-0.004378,-0.014648,-0.016022,0.000000
0.018150,-0.003172,-0.002441,0.000153,0.000000
0.018200,-0.002570,-0.010986,0.005646,0.000000
0.018250,-0.002763,-0.009766,-0.018005,0.000000
0.018300,-0.003533,-0.016479,0.003510,0.000000
0.018350,-0.004378,-0.000610,-0.004883,0.000000
0.018400,-0.004772,0.002441,-0.015106,0.000000
0.018450,-0.004448,-0.000610,-0.021362,0.000000
0.018500,-0.003533,0.005493,0.002747,0.000000
0.018550,-0.002440,-0.003052,-0.010834,0.000000
0.018600,-0.001557,-0.001221,-0.008698,0.000000
0.018650,-0.001034,-0.023193,0.005646,0.000000
0.018700,-0.000789,0.010376,0.008545,0.000000
0.018750,-0.000672,0.001831,-0.004730,0.000000
0.018800,-0.000646,-0.009155,-0.027924,0.000000
0.018850,-0.000774,-0.008545,0.004272,0.000000
0.018900,-0.001059,0.013428,-0.025177,0.000000
0.018950,-0.001367,0.005493,-0.014648,0.000000
0.019000,-0.001535,0.013428,0.011292,0.000000
0.019050,-0.001536,-0.007324,-0.021515,0.000000
0.019100,-0.001466,-0.004272,-0.011444,0.000000
0.019150,-0.001355,0.004883,-0.021362,0.000000
0.019200,-0.001084,-0.006714,-0.004730,0.000000
0.019250,-0.000524,0.000000,0.010071,0.000000
0.019300,0.000315,0.015259,-0.005493,0.000000
0.019350,0.001253,0.009155,-0.027313,0.000000
0.019400,0.002013,-0.007935,-0.017853,0.000000
0.019450,0.002376,-0.004272,-0.010529,0.000000
0.019500,0.002274,0.006104,-0.009766,0.000000
0.019550,0.001749,0.010376,-0.003815,0.000000
0.019600,0.000918,-0.001221,-0.005493,0.000000
0.019650,0.000038,0.008545,-0.027618,0.000000
0.019700,-0.000525,0.020142,-0.013275,0.000000
0.019750,-0.000488,0.011597,-0.012360,0.000000
0.019800,0.000209,-0.002441,-0.010986,0.000000
0.019850,0.001417,0.010986,-0.015869,0.000000
0.019900,0.002835,0.001221,0.010071,0.000000
0.019950,0.004066,0.005493,-0.008240,0.000000
0.020000,0.004738,0.002441,-0.022736,0.000000
0.020050,0.004656,0.007324,0.008698,0.000000
0.020100,0.003833,0.000000,-0.017700,0.000000
0.020150,0.002466,0.019531,0.021667,0.000000
0.020200,0.000922,0.017090,-0.019226,0.000000
0.020250,-0.000339,0.012207,-0.028229,0.000000
0.020300,-0.000992,-0.003662,-0.009003,0.000000
0.020350,-0.000976,0.010376,-0.037689,0.000000
0.020400,-0.000433,0.001221,-0.026093,0.000000
0.020450,0.000422,0.006104,0.011749,0.000000
0.020500,0.001385,0.010986,-0.004578,0.000000
0.020550,0.002234,-0.001221,0.003204,0.000000
0.020600,0.002688,-0.007935,-0.020905,0.000000
0.020650,0.002462,0.003052,-0.016937,0.000000
0.020700,0.001437,0.001831,0.004730,0.000000
0.020750,-0.000142,-0.002441,-0.006866,0.000000
0.020800,-0.001655,0.020752,-0.024719,0.000000
0.020850,-0.002445,0.006104,-0.019836,0.000000
0.020900,-0.002286,0.001831,-0.013275,0.000000
0.020950,-0.001483,-0.006104,-0.010529,0.000000
0.021000,-0.000587,0.007935,0.012665,0.000000
0.021050,-0.000060,0.010376,-0.011444,0.000000
0.021100,-0.000146,-0.016479,0.004120,0.000000
0.021150,-0.000825,0.000000,-0.014801,0.000000
0.021200,-0.001818,0.004883,-0.000610,0.000000
0.021250,-0.002738,0.004272,-0.031891,0.000000
0.021300,-0.003282,-0.003662,-0.012665,0.000000
0.021350,-0.003341,0.014038,0.006256,0.000000
0.021400,-0.003039,0.003662,-0.010223,0.000000
0.021450,-0.002706,-0.003052,0.003052,0.000000
0.021500,-0.002691,-0.008545,-0.007019,0.000000
0.021550,-0.003088,0.006714,-0.023651,0.000000
0.021600,-0.003642,-0.005493,-0.022583,0.000000
0.021650,-0.003978,-0.004272,-0.004120,0.000000
0.021700,-0.003917,-0.009155,-0.003510,0.000000
0.021750,-0.003570,-0.003662,-0.012665,0.000000
0.021800,-0.003244,-0.006714,0.005341,0.000000
0.021850,-0.003274,-0.009155,0.002899,0.000000
0.021900,-0.003821,0.001221,-0.035400,0.000000
0.021950,-0.004747,-0.001221,-0.013123,0.000000
